id,lastUpdateTime,name,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input
9577772,2020-12-17 08:31:21,突尼斯,1306.0,,1083.0,41.0,,,,114547,0,87884,3997,0,0.0
9507896,2020-12-17 00:01:13,塞尔维亚,5353.0,,0.0,0.0,,,,282601,0,15913,2482,0,0.0
0,2020-12-17 20:16:39,中国,104.0,,214.0,1.0,,-15.0,7.0,95479,0,89037,4765,0,4068.0
1,2020-12-17 21:06:38,日本本土,3209.0,,2723.0,31.0,,,,190913,0,158114,2654,0,0.0
2,2020-12-17 13:56:34,泰国,20.0,,12.0,0.0,,,,4281,0,3989,60,0,0.0
3,2020-12-17 17:21:42,新加坡,24.0,,0.0,0.0,,,,58377,0,58238,29,0,0.0
4,2020-12-17 11:01:22,韩国,1011.0,,663.0,22.0,,,,46453,0,33610,634,0,0.0
5,2020-12-17 18:51:42,澳大利亚,13.0,,4.0,0.0,,,,28072,0,25695,908,0,0.0
6,2020-12-17 20:11:45,德国,32195.0,,24453.0,668.0,,,,1423830,0,1056477,24316,0,0.0
7,2020-12-17 10:26:23,美国,246996.0,,162882.0,3509.0,,,,17392618,0,10170735,314577,0,0.0
8,2020-12-17 18:51:43,马来西亚,1220.0,,1297.0,3.0,,,,89133,0,74030,432,0,0.0
9,2020-12-17 08:31:21,越南,0.0,,0.0,0.0,,,,1405,0,1252,35,0,0.0
89566,2020-06-12 17:03:12,圣巴泰勒米,,,,,,,,6,0,6,0,0,
821,2020-12-17 00:01:13,肯尼亚,394.0,,0.0,0.0,,,,92853,0,74403,1614,0,0.0
826,2020-12-17 20:11:46,伊朗,7453.0,,12083.0,212.0,,,,1138530,0,856513,53095,0,0.0
827,2020-12-17 18:51:43,以色列,3325.0,,1598.0,10.0,,,,366612,0,341744,3040,0,0.0
828,2020-06-09 19:59:04,毛利亚尼亚,,,,,,,,16,0,6,2,0,
829,2020-12-17 08:31:21,黎巴嫩,2056.0,,0.0,11.0,,,,150933,0,104207,1234,0,0.0
833,2020-12-17 18:51:43,克罗地亚,3918.0,,3790.0,85.0,,,,186963,0,161563,2955,0,0.0
834,2020-12-17 20:11:45,奥地利,2485.0,,3273.0,218.0,,,,332828,0,294315,4982,0,0.0
835,2020-12-17 20:11:45,瑞士,5058.0,,0.0,93.0,,,,399511,0,311500,6409,0,0.0
839,2020-12-17 08:31:21,希腊,1185.0,,0.0,85.0,,,,127557,0,23074,3870,0,0.0
95800,2020-12-17 08:31:21,毛里求斯,0.0,,0.0,0.0,,,,524,0,489,10,0,0.0
845,2020-12-17 18:16:36,爱沙尼亚,733.0,,416.0,4.0,,,,20004,0,12533,164,0,0.0
846,2020-12-17 08:31:21,北马其顿,865.0,,641.0,25.0,,,,75597,0,51493,2194,0,0.0
850,2020-12-17 18:51:43,白俄罗斯,1834.0,,2024.0,8.0,,,,167731,0,145397,1299,0,0.0
851,2020-12-17 17:21:41,立陶宛,3159.0,,1734.0,26.0,,,,103028,0,45113,933,0,0.0
852,2020-12-17 20:11:46,阿塞拜疆,4124.0,,4205.0,38.0,,,,191460,0,127064,2088,0,0.0
875097,2020-06-12 17:06:26,美属维尔京群岛,,,,,,,,72,0,46,6,0,
95826,2020-06-15 13:26:49,蒙古,,,,,,,,197,0,98,0,0,
872,2020-12-17 17:21:41,乌克兰,12474.0,,13525.0,265.0,,,,957692,0,569200,16579,0,0.0
874,2020-12-17 18:51:43,波兰,11953.0,,10699.0,431.0,,,,1171854,0,903349,24345,0,0.0
879,2020-12-17 00:01:12,波黑,902.0,,0.0,0.0,,,,103232,0,68245,3511,0,0.0
80902,2020-06-12 17:02:32,蒙特塞拉特,,,,,,,,11,0,10,1,0,
880,2020-12-17 08:31:21,南非,10008.0,,9608.0,166.0,,,,883687,0,774585,23827,0,0.0
95198,2020-06-15 14:48:50,布隆迪,,,,,,,,85,0,45,1,0,
95215522,2020-06-15 07:27:53,南苏丹,0.0,0.0,0.0,0.0,0.0,,0.0,1755,0,58,30,0,0.0
893,2020-12-17 21:06:38,马耳他,60.0,,154.0,2.0,,,,11475,0,9670,182,0,0.0
896,2020-12-17 08:31:20,摩尔多瓦,1673.0,,1363.0,25.0,,,,130329,0,112677,2650,0,0.0
897,2020-12-17 08:31:21,保加利亚,1959.0,,2575.0,191.0,,,,186246,0,90510,6196,0,0.0
898,2020-12-17 18:51:43,孟加拉,1134.0,,2239.0,36.0,,,,496975,0,431590,7192,0,0.0
899,2020-06-15 10:20:56,阿尔巴尼亚,,0.0,,,0.0,,,1521,0,1044,36,0,
950000,2020-12-17 00:01:13,巴勒斯坦,2197.0,,0.0,0.0,,,,115606,0,90952,1048,0,0.0
95kml,2020-06-15 13:47:09,科摩罗,,,,,,,,176,0,114,2,0,
953333,2020-12-17 17:21:41,阿富汗,217.0,,30.0,14.0,,,,49378,0,38505,2025,0,0.0
95888822,2020-12-17 00:01:13,沙特阿拉伯,322.0,,0.0,0.0,,,,360335,0,351192,6080,0,0.0
9511123,2020-12-17 00:01:12,新西兰,4.0,,0.0,0.0,,,,2100,0,2032,25,0,0.0
95333,2020-12-17 00:01:13,塔吉克斯坦,38.0,,0.0,0.0,,,,12815,0,12253,89,0,0.0
83356,2020-06-15 13:25:33,泽西岛,,,,,,,,313,0,292,15,0,0.0
954467,2020-06-15 13:51:09,叙利亚,,0.0,,,0.0,,,177,0,74,6,0,
95327,2020-12-17 09:16:24,巴拿马,2960.0,,1745.0,28.0,,,,199947,0,166600,3439,0,0.0
95329,2020-12-17 08:31:21,古巴,83.0,,66.0,0.0,,,,9671,0,8658,137,0,0.0
9511111,2020-12-17 08:31:21,尼日利亚,930.0,,281.0,0.0,,,,75062,0,66775,1200,0,0.0
95858585,2020-12-17 08:31:21,摩洛哥,3351.0,,3924.0,38.0,,,,406970,0,366835,6749,0,0.0
9500222,2020-12-17 20:11:46,塞内加尔,115.0,,35.0,3.0,,,,17451,0,16384,355,0,0.0
95118,2020-06-15 14:24:59,老挝,,,,,,,,19,0,19,0,0,
95350,2020-12-17 09:16:24,巴哈马,16.0,,6.0,0.0,,,,7714,0,6087,164,0,0.0
84226,2020-06-15 10:14:23,马约特岛,,,,,,,,2282,0,1790,28,0,0.0
954444,2020-12-17 18:51:43,斯洛文尼亚,1654.0,,1740.0,43.0,,,,102043,0,79193,2233,0,0.0
95103,2020-12-17 08:31:21,卢森堡,595.0,,434.0,3.0,,,,42845,0,33920,421,0,0.0
95106,2020-12-17 08:31:20,爱尔兰,421.0,,0.0,6.0,,,,77197,0,23364,2140,0,0.0
95102,2020-12-17 08:31:21,厄瓜多尔,1105.0,,0.0,19.0,,,,203461,0,177951,13915,0,0.0
957777,2020-12-17 15:51:29,捷克,8256.0,,4226.0,154.0,,,,602404,0,522649,10036,0,0.0
9522222,2020-12-17 17:21:41,匈牙利,2982.0,,3014.0,157.0,,,,291549,0,86954,7538,0,0.0
8101,2020-06-15 10:57:56,法属圭亚那,0.0,0.0,0.0,0.0,0.0,,0.0,1255,0,534,3,0,0.0
8102,2020-06-15 11:45:39,多哥共和国,,,,,,,,530,0,291,13,0,0.0
8100,2020-12-17 10:06:28,哥斯达黎加,1167.0,,1916.0,11.0,,,,155263,0,122947,1967,0,0.0
8105,2020-12-17 00:01:13,文莱,0.0,,0.0,0.0,,,,152,0,148,3,0,0.0
8103,2020-06-15 13:46:38,法罗群岛,,,,,,,,187,0,187,0,0,0.0
8104,2020-12-17 00:01:13,马提尼克岛,5.0,,0.0,0.0,,,,37,0,0,1,0,0.0
95120,2020-12-17 10:06:28,荷兰,102.0,,75.0,1.0,,,,650072,0,8152,10333,0,0.0
951234567,2020-12-17 08:31:20,巴西,70574.0,,32709.0,936.0,,,,7040608,0,6239192,183735,0,0.0
8115,2020-12-17 12:56:34,洪都拉斯,374.0,,553.0,12.0,,,,115317,0,52945,3013,0,0.0
95394,2020-12-17 09:16:24,乌拉圭,475.0,,247.0,4.0,,,,10893,0,7142,102,0,0.0
95390,2020-12-17 11:01:23,秘鲁,0.0,,1806.0,0.0,,,,986130,0,924120,36754,0,0.0
956666,2020-12-17 00:01:13,智利,1402.0,,0.0,0.0,,,,576731,0,549852,15959,0,0.0
95389,2020-06-15 00:00:31,格陵兰,,,,,,,,13,0,13,0,0,0.0
95382,2020-06-12 17:03:05,圣巴托洛谬岛,,,,,,,,6,0,6,0,0,
950101010,2020-12-17 08:31:20,马尔代夫,10.0,,26.0,0.0,,,,13402,0,12786,48,0,0.0
95384,2020-12-17 11:01:22,委内瑞拉,237.0,,221.0,5.0,,,,108717,0,103492,970,0,0.0
8134,2020-12-17 08:31:21,毛里塔尼亚,198.0,,33.0,8.0,,,,11629,0,8281,244,0,0.0
8135,2020-06-15 00:00:31,纳米比亚,,,,,,,,31,0,17,0,0,
8132,2020-06-15 13:04:24,法属留尼汪岛,,,,,,,,487,0,447,1,0,0.0
8133,2020-06-13 11:26:34,波多黎各,0.0,0.0,0.0,0.0,0.0,,0.0,5536,0,0,146,0,0.0
95732,2020-12-17 00:01:12,加纳,116.0,,0.0,0.0,,,,53386,0,52048,327,0,0.0
8136,2020-12-17 08:31:21,赤道几内亚,0.0,,0.0,0.0,,,,5195,0,5061,85,0,0.0
8130,2020-12-17 00:01:13,几内亚,17.0,,0.0,0.0,,,,13474,0,12727,80,0,0.0
8131,2020-12-17 08:31:21,卢旺达,122.0,,21.0,0.0,,,,6954,0,6057,57,0,0.0
80001,2020-06-15 00:00:31,格林纳达,,,,,,,,23,0,22,0,0,
8129,2020-12-17 08:31:20,斯威士兰,114.0,,55.0,3.0,,,,7026,0,6531,135,0,0.0
8145,2020-12-17 00:01:13,坦桑尼亚,0.0,,0.0,0.0,,,,509,0,183,21,0,0.0
8146,2020-12-17 10:06:27,贝宁,62.0,,0.0,0.0,,,,3152,0,2972,44,0,0.0
8143,2020-12-17 21:06:38,刚果（金）,492.0,,237.0,8.0,,,,15089,0,13010,366,0,0.0
8144,2020-12-17 00:01:13,中非共和国,0.0,,0.0,0.0,,,,4936,0,1924,63,0,0.0
8147,2020-12-17 00:01:13,利比里亚,97.0,,0.0,0.0,,,,1773,0,1406,83,0,0.0
8148,2020-12-17 21:06:38,索马里,83.0,,37.0,3.0,,,,4662,0,3566,124,0,0.0
95123456,2020-12-17 08:31:21,塞拉利昂,9.0,,1.0,0.0,,,,2460,0,1854,75,0,0.0
95XXXX,2020-12-17 08:31:21,乍得,16.0,,9.0,0.0,,,,1800,0,1620,102,0,0.0
8152,2020-12-17 08:31:21,赞比亚,28.0,,148.0,1.0,,,,18456,0,17635,369,0,0.0
8151,2020-06-15 13:01:51,巴巴多斯,,,,,,,,96,0,83,7,0,
95mali,2020-12-17 08:31:21,马里,91.0,,5.0,4.0,,,,5969,0,3702,209,0,0.0
958888,2020-12-17 09:16:23,阿根廷,6843.0,,3614.0,161.0,,,,1517046,0,1347914,41365,0,0.0
81113,2020-06-15 00:00:31,法属波利尼西亚,,,,,,,,60,0,60,0,0,
9584332,2020-12-17 08:31:20,巴林,156.0,,200.0,0.0,,,,89600,0,87690,349,0,0.0
8168,2020-12-17 08:31:21,莫桑比克,101.0,,124.0,1.0,,,,17143,0,15241,145,0,0.0
95747,2020-12-17 08:31:21,喀麦隆,113.0,,0.0,0.0,,,,25472,0,23851,445,0,0.0
8165,2020-12-17 00:01:13,乌干达,967.0,,0.0,0.0,,,,28733,0,10070,225,0,0.0
8166,2020-06-12 16:57:11,厄立特里亚,,,,,,,,41,0,39,0,0,
95983,2020-12-17 08:31:21,刚果（布）,0.0,,0.0,0.0,,,,6200,0,4988,100,0,0.0
8162,2020-12-17 09:16:24,津巴布韦,227.0,,103.0,3.0,,,,11749,0,9702,313,0,0.0
956475,2020-12-17 21:06:38,丹麦,4.0,,6.0,0.0,,,,120332,0,84331,975,0,0.0
81344,2020-06-15 14:48:41,阿鲁巴,,,,,,,,101,0,98,3,0,0.0
95776,2020-12-17 00:01:13,斐济,0.0,,0.0,0.0,,,,46,0,38,2,0,0.0
8172,2020-12-17 10:06:28,伯利兹,161.0,,114.0,1.0,,,,9672,0,4628,212,0,0.0
8173,2020-12-17 08:31:21,缅甸,1233.0,,1035.0,27.0,,,,111900,0,90453,2346,0,0.0
9568067,2020-12-17 08:31:21,塞浦路斯,401.0,,0.0,1.0,,,,16190,0,2057,85,0,0.0
81134,2020-06-14 00:00:31,关岛,,,,,,,,183,0,143,5,0,0.0
888779,2020-06-15 10:21:59,科索沃,,,,,,,,1326,0,921,31,0,0.0
95860612,2020-06-12 17:03:41,圣皮埃尔岛和密克隆岛,,,,,,,,1,0,1,0,0,0.0
95251456,2020-12-17 14:51:32,吉尔吉斯斯坦,264.0,,386.0,4.0,,,,78415,0,71656,1321,0,0.0
8197,2020-06-15 00:00:31,博茨瓦纳,,0.0,,,0.0,,,60,0,24,1,0,
95309,2020-12-17 00:01:13,尼日尔,39.0,,0.0,0.0,,,,2361,0,1329,82,0,0.0
95305,2020-12-17 10:06:28,苏里南,20.0,,8.0,0.0,,,,5401,0,5239,117,0,0.0
95306,2020-12-17 08:31:21,佛得角,63.0,,51.0,0.0,,,,11458,0,11106,110,0,0.0
95786,2020-12-17 20:11:46,萨尔瓦多,265.0,,0.0,8.0,,,,42397,0,38481,1227,0,0.0
95303,2020-06-15 13:51:31,圭亚那,,0.0,,,0.0,,,159,0,99,12,0,
95787,2020-12-17 10:06:28,尼加拉瓜,51.0,,0.0,1.0,,,,5938,0,4225,163,0,0.0
95783,2020-06-15 00:00:31,冈比亚,,0.0,,,0.0,,,28,0,24,1,0,
9523416782,2020-06-12 16:58:23,东帝汶,,,,,,,,24,0,24,0,0,
950777,2020-12-17 12:56:34,巴基斯坦,2545.0,,7993.0,70.0,,,,448522,0,396591,9080,0,0.0
9577890,2020-12-17 08:31:20,埃及,544.0,,269.0,24.0,,,,123153,0,105719,6990,0,0.0
9577665,2020-12-17 00:01:13,科威特,261.0,,0.0,0.0,,,,146971,0,142909,913,0,0.0
95903,2020-12-17 18:51:43,斯洛伐克,3045.0,,1153.0,69.0,,,,142133,0,102737,1378,0,0.0
95904,2020-06-15 13:47:38,直布罗陀,0.0,0.0,0.0,0.0,0.0,,0.0,176,0,173,0,0,0.0
959333,2020-06-16 00:00:31,摩纳哥,,,,,,,,99,0,93,4,0,
9509765,2020-12-17 09:16:24,巴拉圭,856.0,,705.0,23.0,,,,96209,0,68658,2014,0,0.0
856671,2020-06-12 16:58:47,荷属安的列斯,,,,,,,,22,0,15,1,0,
95711,2020-06-15 00:00:31,多米尼克,,,,,,,,18,0,16,0,0,
95703,2020-12-17 13:56:34,乌兹别克斯坦,142.0,,149.0,0.0,,,,75538,0,72810,612,0,0.0
95293,2020-12-17 08:31:21,黑山,415.0,,453.0,13.0,,,,42563,0,32550,610,0,0.0
95294,2020-12-17 00:01:13,危地马拉,746.0,,0.0,0.0,,,,130828,0,119288,4510,0,0.0
95290,2020-12-17 08:31:20,加蓬,22.0,,19.0,0.0,,,,9373,0,9223,63,0,0.0
95291,2020-12-17 08:31:21,苏丹,218.0,,86.0,12.0,,,,22082,0,12753,1384,0,0.0
87435,2020-12-17 20:11:45,利比亚,706.0,,511.0,13.0,,,,93283,0,63231,1337,0,0.0
95287,2020-06-15 14:48:56,圣马丁岛,,,,,,,,77,0,61,15,0,
95046,2020-12-17 08:31:20,土耳其,29718.0,,29922.0,240.0,,,,1928165,0,1691113,17121,0,0.0
95047,2020-06-12 17:02:54,巴布亚新几内亚,,,,,,,,8,0,8,0,0,
95000011,2020-12-17 00:01:13,多米尼加,1401.0,,0.0,0.0,,,,156585,0,121988,2372,0,0.0
95076,2020-12-17 00:01:12,约旦,2561.0,,0.0,0.0,,,,267585,0,230274,3465,0,0.0
9532556,2020-12-17 15:51:29,亚美尼亚,1174.0,,1296.0,25.0,,,,151392,0,129990,2581,0,0.0
811192,2020-06-12 17:01:29,圣基茨和尼维斯,,,,,,,,15,0,15,0,0,
89665,2020-06-15 13:49:44,瓜德罗普,,0.0,,,0.0,,,171,0,157,14,0,
94367,2020-12-17 11:01:23,安提瓜和巴布达,3.0,,3.0,0.0,,,,151,0,141,5,0,0.0
95215,2020-12-17 11:01:23,玻利维亚,498.0,,230.0,3.0,,,,148214,0,126950,9029,0,0.0
95693,2020-12-17 08:31:20,哥伦比亚,11953.0,,7736.0,204.0,,,,1456599,0,1336166,39560,0,0.0
879903,2020-06-12 16:57:52,圣文森特和格林纳丁斯,,,,,,,,27,0,25,0,0,
84326,2020-06-12 16:59:25,圣卢西亚,,,,,,,,19,0,18,0,0,
10,2020-12-17 20:11:45,法国,17788.0,,1224.0,290.0,,,,2465246,0,186004,59472,0,0.0
11,2020-12-17 00:01:13,阿联酋,1278.0,,0.0,0.0,,,,188545,0,165749,626,0,0.0
12,2020-12-17 10:06:28,加拿大,6399.0,,5178.0,118.0,,,,485576,0,397217,13815,0,0.0
13,2020-12-17 13:56:35,印度,24010.0,,33291.0,355.0,,,,9956557,0,9489740,144451,0,0.0
14,2020-12-17 21:06:38,英国,25321.0,,15.0,612.0,,,,1918768,0,4111,65618,0,0.0
15,2020-12-17 08:31:20,意大利,17568.0,,34495.0,680.0,,,,1888144,0,1175901,66537,0,0.0
16,2020-12-17 17:21:41,俄罗斯,27787.0,,25854.0,574.0,,,,2736727,0,2181696,48568,0,0.0
17,2020-12-17 17:21:41,菲律宾,1459.0,,620.0,17.0,,,,454447,0,419902,8850,0,0.0
18,2020-12-17 20:11:45,芬兰,358.0,,0.0,12.0,,,,32228,0,22500,484,0,0.0
19,2020-12-17 20:11:45,尼泊尔,776.0,,1794.0,6.0,,,,251692,0,240363,1749,0,0.0
95682,2020-12-17 00:01:13,葡萄牙,4720.0,,0.0,0.0,,,,358296,0,283719,5815,0,0.0
95200,2020-12-17 00:01:13,也门,1.0,,0.0,0.0,,,,2085,0,1384,606,0,0.0
954356,2020-06-15 00:00:31,塞舌尔,,,,,,,,11,0,11,0,0,
20,2020-12-17 08:31:21,西班牙,11078.0,,0.0,195.0,,,,1782566,0,196958,48596,0,0.0
21,2020-12-17 10:06:28,斯里兰卡,290.0,,0.0,3.0,,,,34737,0,25652,160,0,0.0
9509,2020-12-17 08:31:21,阿尔及利亚,442.0,,393.0,8.0,,,,93507,0,61700,2631,0,0.0
22,2020-12-17 12:56:34,柬埔寨,0.0,,5.0,0.0,,,,362,0,324,0,0,0.0
95239,2020-12-17 00:01:13,海地,9.0,,0.0,0.0,,,,9597,0,8280,234,0,0.0
23,2020-12-17 00:01:13,瑞典,7556.0,,0.0,0.0,,,,348585,0,4917,7802,0,0.0
95237,2020-06-15 14:48:06,特里尼达和多巴哥,,0.0,,,0.0,,,123,0,109,8,0,
95jibuti,2020-12-17 00:01:13,吉布提,10.0,,0.0,0.0,,,,5759,0,5628,61,0,0.0
9512314,2020-06-15 11:44:39,圣多美与普林西比,0.0,0.0,0.0,0.0,0.0,,0.0,659,0,176,12,0,0.0
953487,2020-12-17 08:31:21,布基纳法索,149.0,,148.0,0.0,,,,4449,0,3088,73,0,0.0
954332,2020-12-17 16:16:32,比利时,3636.0,,0.0,100.0,,,,615058,0,33687,18278,0,0.0
9534324,2020-12-17 21:06:38,伊拉克,1533.0,,1916.0,14.0,,,,580449,0,515321,12650,0,0.0
95000111,2020-12-17 08:31:21,马拉维,11.0,,2.0,0.0,,,,6091,0,5661,187,0,0.0
95010,2020-12-17 20:11:45,冰岛,10.0,,2.0,0.0,,,,5588,0,5423,28,0,0.0
95jnybs,2020-12-17 00:01:13,几内亚比绍,3.0,,0.0,0.0,,,,2447,0,2378,44,0,0.0
953333666,2020-12-17 21:06:38,拉脱维亚,1040.0,,0.0,12.0,,,,28535,0,18153,394,0,0.0
9512111,2020-06-15 14:49:07,不丹,,0.0,,,0.0,,,66,0,21,0,0,
957873,2020-12-17 11:01:22,挪威,235.0,,0.0,0.0,,,,42312,0,17998,402,0,0.0
9524546,2020-12-17 18:51:43,印度尼西亚,7354.0,,4995.0,142.0,,,,643508,0,526979,19390,0,0.0
956789,2020-12-17 08:31:21,安哥拉,45.0,,204.0,7.0,,,,16407,0,9194,379,0,0.0
87656,2020-06-15 13:46:13,开曼群岛,,,,,,,,187,0,115,1,0,
95844,2020-12-17 08:31:21,埃塞俄比亚,464.0,,1662.0,5.0,,,,118006,0,97969,1818,0,0.0
95879,2020-06-15 00:00:31,梵蒂冈,,,,,,,,12,0,12,0,0,
95632,2020-12-17 08:31:20,科特迪瓦,70.0,,29.0,0.0,,,,21741,0,21364,133,0,0.0
95634,2020-12-17 20:11:45,卡塔尔,140.0,,201.0,0.0,,,,141557,0,139243,242,0,0.0
95411,2020-06-12 17:03:24,莱索托,,,,,,,,4,0,2,0,0,
950611,2020-12-17 17:21:41,格鲁吉亚,2981.0,,2001.0,31.0,,,,201368,0,169282,1953,0,0.0
96745,2020-12-17 11:01:23,墨西哥,10297.0,,7584.0,670.0,,,,1277499,0,945673,115769,0,0.0
95891,2020-12-17 08:31:21,圣马力诺,43.0,,9.0,2.0,,,,2025,0,1694,54,0,0.0
95400,2020-12-17 13:56:35,哈萨克斯坦,947.0,,904.0,0.0,,,,188837,0,160889,2613,0,0.0
95643,2020-12-17 08:31:20,安道尔,64.0,,113.0,0.0,,,,7446,0,6819,79,0,0.0
95886,2020-12-17 00:01:13,牙买加,32.0,,0.0,0.0,,,,11907,0,8371,276,0,0.0
82333,2020-06-15 13:26:03,格恩西岛,,,,,,,,252,0,238,13,0,
95677,2020-12-17 21:06:38,罗马尼亚,5697.0,,7640.0,107.0,,,,577446,0,477139,13969,0,0.0
95436,2020-12-17 18:51:43,阿曼,184.0,,273.0,3.0,,,,127019,0,119009,1483,0,0.0
95672,2020-06-15 14:25:46,列支敦士登,,,,,,,,82,0,55,1,0,
9547021,2020-12-17 00:01:13,马达加斯加,0.0,,0.0,0.0,,,,17587,0,16992,259,0,0.0
